Flname,FnName,Art,Max,Unq,Len,OT,Class,ObfStat
7_1_3_constant_long_0_flat.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_1_3_constant_long_0_flat.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_1_3_constant_long_0_flat.prob3,main,308.567705751,7.37811219938,16,106,0,norm,norm
7_1_3_constant_long_0_flat.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_1_3_constant_long_0_flat.prob3,function_1,857.949080185,7.84798703507,20,280,1,norm,norm
7_1_3_constant_long_0_flat.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_1_3_constant_long_0_flat.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_1_3_constant_long_0_enca.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_1_3_constant_long_0_enca.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_1_3_constant_long_0_enca.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_1_3_constant_long_0_enca.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_1_3_constant_long_0_enca.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_1_3_constant_long_0_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_1_3_constant_long_0_enca.prob3,function_1,4253.16921053,9.90582011626,23,1073,7,norm,norm
7_1_3_constant_long_0_enca.prob3,main,406.935168346,8.70208741777,19,121,2,norm,norm
7_1_3_constant_long_0_enca.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_1_3_constant_long_0_enca.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
RF-default_jmp.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
RF-default_jmp.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
RF-default_jmp.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
RF-default_jmp.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
RF-default_jmp.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
RF-default_jmp.prob3,_NONAME1,1409.35060083,40.0,16,103,35,norm,norm
RF-default_jmp.prob3,SECRET_1,787.140394512,10.9506955038,16,210,3,norm,norm
RF-default_jmp.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
RF-default_jmp.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
2_1_1_constant_char_2.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
2_1_1_constant_char_2.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
2_1_1_constant_char_2.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
2_1_1_constant_char_2.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
2_1_1_constant_char_2.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
2_1_1_constant_char_2.prob3,main,195.279002031,9.2776238471,16,59,2,norm,norm
2_1_1_constant_char_2.prob3,function_1,1255.8373577,40.0,22,267,6,norm,norm
2_1_1_constant_char_2.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
2_1_1_constant_char_2.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
RF-default_encl.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
RF-default_encl.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
RF-default_encl.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
RF-default_encl.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
RF-default_encl.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
RF-default_encl.prob3,SECRET_1,795.811502769,10.9506955038,17,211,3,norm,norm
RF-default_encl.prob3,_1_stringEncoder,911.824258648,8.1755716809,12,260,1,norm,norm
RF-default_encl.prob3,megaInit,25.1427891938,6.11676071692,5,6,0,norm,norm
RF-default_encl.prob3,encodeStrings_litStr0_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
RF-default_encl.prob3,encodeStrings_litStr1_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
RF-default_encl.prob3,main,185.740134123,8.51844596613,13,71,1,norm,norm
RF-default_encl.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
RF-default_encl.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
test_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
test_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
test_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
