.text,004007D2,__do_global_dtors_aux,B10,T,5D,pop,pop_10,rbp,,1,0,N,,pop,C
.text,004007D3,__do_global_dtors_aux,B10,T,C605C60A200001,mov,mov_25,cs:__bss_start,1,2,5,N,_w.BSS,mov_w.BSS,C
.text,004007DA,__do_global_dtors_aux,B11,T,F3C3,retn,retn_00,,,0,0,N,,retn,C
.text,004007E0,frame_dummy,B12,T,BF30106000,mov,mov_15,edi,offset __JCR_LIST__,1,5,N,_r.DATA,mov_r.DATA,S
.text,004007E5,frame_dummy,B12,T,48833F00,cmp,cmp_35,qword ptr [rdi],0,3,5,N,,cmp,C
.text,004007E9,frame_dummy,B12,T,7505,jnz,jnz_70,loc_4007F0,,7,0,J,.CODE,jnz.CODE,C
.text,004007EB,frame_dummy,B13,T,EB93,jmp,jmp_70,register_tm_clones,,7,0,J,.CODE,jmp.CODE,C
.text,004007F0,frame_dummy,B14,T,B800000000,mov,mov_15,eax,0,1,5,N,,mov,C
.text,004007F5,frame_dummy,B14,T,4885C0,test,test_11,rax,rax,1,1,N,,test,C
.text,004007F8,frame_dummy,B14,T,74F1,jz,jz_70,loc_4007EB,,7,0,J,.CODE,jz.CODE,C
.text,004007FA,frame_dummy,B15,T,55,push,push_10,rbp,,1,0,N,,push,C
.text,004007FB,frame_dummy,B15,T,4889E5,mov,mov_11,rbp,rsp,1,1,N,,mov,C
.text,004007FE,frame_dummy,B15,T,FFD0,call,call_10,rax,,1,0,J,,call,C
.text,00400800,frame_dummy,B15,T,5D,pop,pop_10,rbp,,1,0,N,,pop,C
.text,00400801,frame_dummy,B15,T,E97AFFFFFF,jmp,jmp_70,register_tm_clones,,7,0,J,.CODE,jmp.CODE,C
.text,00400806,,B16,T,55,push,push_10,rbp,,1,0,N,,push,S
.text,00400807,,B16,T,4889E5,mov,mov_11,rbp,rsp,1,1,N,,mov,C
.text,0040080A,,B16,T,53,push,push_10,rbx,,1,0,N,,push,C
.text,0040080B,,B16,T,4883EC38,sub,sub_15,rsp,38h,1,5,N,,sub,C
.text,0040080F,,B16,T,48897DC8,mov,mov_41,[rbp-38h],rdi,4,1,N,,mov,C
.text,00400813,,B16,T,488975C0,mov,mov_41,[rbp-40h],rsi,4,1,N,,mov,C
.text,00400817,,B16,T,488B45C8,mov,mov_14,rax,[rbp-38h],1,4,N,,mov,C
.text,0040081B,,B16,T,89C3,mov,mov_11,ebx,eax,1,1,N,,mov,C
.text,0040081D,,B16,T,E8CEFEFFFF,call,call_70,_getpagesize,,7,0,J,.CODE,call.CODE,C
.text,00400822,,B16,T,89C1,mov,mov_11,ecx,eax,1,1,N,,mov,C
.text,00400824,,B16,T,89D8,mov,mov_11,eax,ebx,1,1,N,,mov,C
.text,00400826,,B16,T,99,cdq,cdq_11,,,1,1,N,,cdq,C
.text,00400827,,B16,T,F7F9,idiv,idiv_11,,ecx,1,1,N,,idiv,C
.text,00400829,,B16,T,89D0,mov,mov_11,eax,edx,1,1,N,,mov,C
.text,0040082B,,B16,T,4898,cdqe,cdqe_10,,,1,0,N,,cdqe,C
.text,0040082D,,B16,T,48F7D8,neg,neg_10,rax,,1,0,N,,neg,C
.text,00400830,,B16,T,4889C2,mov,mov_11,rdx,rax,1,1,N,,mov,C
.text,00400833,,B16,T,488B45C8,mov,mov_14,rax,[rbp-38h],1,4,N,,mov,C
.text,00400837,,B16,T,4801D0,add,add_11,rax,rdx,1,1,N,,add,C
.text,0040083A,,B16,T,488945E8,mov,mov_41,[rbp-18h],rax,4,1,N,,mov,C
.text,0040083E,,B16,T,488B45C0,mov,mov_14,rax,[rbp-40h],1,4,N,,mov,C
.text,00400842,,B16,T,89C3,mov,mov_11,ebx,eax,1,1,N,,mov,C
.text,00400844,,B16,T,E8A7FEFFFF,call,call_70,_getpagesize,,7,0,J,.CODE,call.CODE,C
.text,00400849,,B16,T,89C1,mov,mov_11,ecx,eax,1,1,N,,mov,C
.text,0040084B,,B16,T,89D8,mov,mov_11,eax,ebx,1,1,N,,mov,C
.text,0040084D,,B16,T,99,cdq,cdq_11,,,1,1,N,,cdq,C
.text,0040084E,,B16,T,F7F9,idiv,idiv_11,,ecx,1,1,N,,idiv,C
.text,00400850,,B16,T,89D0,mov,mov_11,eax,edx,1,1,N,,mov,C
.text,00400852,,B16,T,4898,cdqe,cdqe_10,,,1,0,N,,cdqe,C
.text,00400854,,B16,T,48F7D8,neg,neg_10,rax,,1,0,N,,neg,C
.text,00400857,,B16,T,4889C2,mov,mov_11,rdx,rax,1,1,N,,mov,C
.text,0040085A,,B16,T,488B45C0,mov,mov_14,rax,[rbp-40h],1,4,N,,mov,C
.text,0040085E,,B16,T,4801D0,add,add_11,rax,rdx,1,1,N,,add,C
.text,00400861,,B16,T,488945E0,mov,mov_41,[rbp-20h],rax,4,1,N,,mov,C
.text,00400865,,B16,T,488B55E0,mov,mov_14,rdx,[rbp-20h],1,4,N,,mov,C
.text,00400869,,B16,T,488B45E8,mov,mov_14,rax,[rbp-18h],1,4,N,,mov,C
.text,0040086D,,B16,T,4889D3,mov,mov_11,rbx,rdx,1,1,N,,mov,C
.text,00400870,,B16,T,4829C3,sub,sub_11,rbx,rax,1,1,N,,sub,C
.text,00400873,,B16,T,E878FEFFFF,call,call_70,_getpagesize,,7,0,J,.CODE,call.CODE,C
.text,00400878,,B16,T,4863F0,movsxd,movsxd_11,rsi,eax,1,1,N,,movsxd,C
