.text,00400D48,sub_400D40,B10,T,55,push,push_10,rbp,,1,0,N,x,push_10_x
.text,00400D49,sub_400D40,B10,T,4889E5,mov,mov_11,rbp,rsp,1,1,N,x,mov_11_x
.text,00400D4C,sub_400D40,B10,T,7412,jz,jz_70,locret_400D60,,7,0,J,c,jz_70_c
.text,00400D4E,sub_400D40,B11,T,B800000000,mov,mov_15,eax,0,1,5,N,x,mov_15_x
.text,00400D53,sub_400D40,B11,T,4885C0,test,test_11,rax,rax,1,1,N,x,test_11_x
.text,00400D56,sub_400D40,B11,T,7408,jz,jz_70,locret_400D60,,7,0,J,c,jz_70_c
.text,00400D58,sub_400D40,B12,T,BF20006100,mov,mov_15,edi,offset qword_610020,1,5,N,r_nc,mov_15_r_nc
.text,00400D5D,sub_400D40,B12,T,C9,leave,leave_00,,,0,0,N,x,leave_00_x
.text,00400D5E,sub_400D40,B12,T,FFE0,jmp,jmp_10,rax,,1,0,J,x,jmp_10_x
.text,00400D60,sub_400D40,B13,T,C9,leave,leave_00,,,0,0,N,x,leave_00_x
.text,00400D61,sub_400D40,B13,T,C3,retn,retn_00,,,0,0,N,x,retn_00_x
.text,00400D62,,N,F_ALIGN,9090909090909090909090909090,,ALIGN,,,0,0,X,x,ALIGN
.text,00400D70,,B14,T,C74710FFFFFFFF,mov,mov_45,dword ptr [rdi+10h],0FFFFFFFFh,4,5,N,x,mov_45_x
.text,00400D77,,B14,T,48C7471800000000,mov,mov_45,qword ptr [rdi+18h],0,4,5,N,x,mov_45_x
.text,00400D7F,,B14,T,8B470C,mov,mov_14,eax,[rdi+0Ch],1,4,N,x,mov_14_x
.text,00400D82,,B14,T,C3,retn,retn_00,,,0,0,N,x,retn_00_x
.text,00400D83,,N,F_ALIGN,666666662E0F1F840000000000,,ALIGN,,,4,0,X,x,ALIGN
.text,00400D90,sub_400D90,B15,T,53,push,push_10,rbx,,1,0,N,x,push_10_x
.text,00400D91,sub_400D90,B15,T,BF20000000,mov,mov_15,edi,20h,1,5,N,x,mov_15_x
.text,00400D96,sub_400D90,B15,T,E8950B0000,call,call_70,sub_401930,,7,0,J,c,call_70_c
.text,00400D9B,sub_400D90,B15,T,BF40000000,mov,mov_15,edi,40h,1,5,N,x,mov_15_x
.text,00400DA0,sub_400D90,B15,T,4889C3,mov,mov_11,rbx,rax,1,1,N,x,mov_11_x
.text,00400DA3,sub_400D90,B15,T,E8880B0000,call,call_70,sub_401930,,7,0,J,c,call_70_c
.text,00400DA8,sub_400D90,B15,T,4889C2,mov,mov_11,rdx,rax,1,1,N,x,mov_11_x
.text,00400DAB,sub_400D90,B15,T,488903,mov,mov_31,[rbx],rax,3,1,N,x,mov_31_x
.text,00400DAE,sub_400D90,B15,T,B908000000,mov,mov_15,ecx,8,1,5,N,x,mov_15_x
.text,00400DB3,sub_400D90,B15,T,31C0,xor,xor_11,eax,eax,1,1,N,x,xor_11_x
.text,00400DB5,sub_400D90,B15,T,4889D7,mov,mov_11,rdi,rdx,1,1,N,x,mov_11_x
.text,00400DB8,sub_400D90,B15,T,C7430C00000000,mov,mov_45,dword ptr [rbx+0Ch],0,4,5,N,x,mov_45_x
.text,00400DBF,sub_400D90,B15,T,C7430807000000,mov,mov_45,dword ptr [rbx+8],7,4,5,N,x,mov_45_x
.text,00400DC6,sub_400D90,B15,T,C74310FFFFFFFF,mov,mov_45,dword ptr [rbx+10h],0FFFFFFFFh,4,5,N,x,mov_45_x
.text,00400DCD,sub_400D90,B15,T,48C7431800000000,mov,mov_45,qword ptr [rbx+18h],0,4,5,N,x,mov_45_x
.text,00400DD5,sub_400D90,B15,T,F348AB,stos,stos_31,,,3,1,N,x,stos_31_x
.text,00400DD8,sub_400D90,B15,T,4889D8,mov,mov_11,rax,rbx,1,1,N,x,mov_11_x
.text,00400DDB,sub_400D90,B15,T,5B,pop,pop_10,rbx,,1,0,N,x,pop_10_x
.text,00400DDC,sub_400D90,B15,T,C3,retn,retn_00,,,0,0,N,x,retn_00_x
.text,00400DDD,,N,F_ALIGN,0F1F00,,ALIGN,,,3,0,X,x,ALIGN
.text,00400DE0,sub_400DE0,B16,T,4157,push,push_10,r15,,1,0,N,x,push_10_x
.text,00400DE2,sub_400DE0,B16,T,4156,push,push_10,r14,,1,0,N,x,push_10_x
.text,00400DE4,sub_400DE0,B16,T,4155,push,push_10,r13,,1,0,N,x,push_10_x
.text,00400DE6,sub_400DE0,B16,T,4154,push,push_10,r12,,1,0,N,x,push_10_x
.text,00400DE8,sub_400DE0,B16,T,4989FC,mov,mov_11,r12,rdi,1,1,N,x,mov_11_x
.text,00400DEB,sub_400DE0,B16,T,55,push,push_10,rbp,,1,0,N,x,push_10_x
.text,00400DEC,sub_400DE0,B16,T,53,push,push_10,rbx,,1,0,N,x,push_10_x
.text,00400DED,sub_400DE0,B16,T,4883EC08,sub,sub_15,rsp,8,1,5,N,x,sub_15_x
.text,00400DF1,sub_400DE0,B16,T,448B6F08,mov,mov_14,r13d,[rdi+8],1,4,N,x,mov_14_x
.text,00400DF5,sub_400DE0,B16,T,488B3F,mov,mov_13,rdi,[rdi],1,3,N,x,mov_13_x
.text,00400DF8,sub_400DE0,B16,T,458D7501,lea,lea_14,r14d,[r13+1],1,4,N,x,lea_14_x
.text,00400DFC,sub_400DE0,B16,T,478D3C36,lea,lea_13,r15d,[r14+r14],1,3,N,x,lea_13_x
.text,00400E00,sub_400DE0,B16,T,4963EE,movsxd,movsxd_11,rbp,r14d,1,1,N,x,movsxd_11_x
.text,00400E03,sub_400DE0,B16,T,48C1E503,shl,shl_15,rbp,3,1,5,N,x,shl_15_x
.text,00400E07,sub_400DE0,B16,T,4963F7,movsxd,movsxd_11,rsi,r15d,1,1,N,x,movsxd_11_x
.text,00400E0A,sub_400DE0,B16,T,4183EF01,sub,sub_15,r15d,1,1,5,N,x,sub_15_x
.text,00400E0E,sub_400DE0,B16,T,48C1E603,shl,shl_15,rsi,3,1,5,N,x,shl_15_x
.text,00400E12,sub_400DE0,B16,T,E8C90A0000,call,call_70,sub_4018E0,,7,0,J,c,call_70_c
.text,00400E17,sub_400DE0,B16,T,488D3C28,lea,lea_13,rdi,[rax+rbp],1,3,N,x,lea_13_x
.text,00400E1B,sub_400DE0,B16,T,31F6,xor,xor_11,esi,esi,1,1,N,x,xor_11_x
.text,00400E1D,sub_400DE0,B16,T,4889EA,mov,mov_11,rdx,rbp,1,1,N,x,mov_11_x
