.text,004006A0,_start,B0,T,31ED,xor,xor_11,ebp,ebp,1,1,N,,xor,S
.text,004006A2,_start,B0,T,4989D1,mov,mov_11,r9,rdx,1,1,N,,mov,C
.text,004006A5,_start,B0,T,5E,pop,pop_10,rsi,,1,0,N,,pop,C
.text,004006A6,_start,B0,T,4889E2,mov,mov_11,rdx,rsp,1,1,N,,mov,C
.text,004006A9,_start,B0,T,4883E4F0,and,and_15,rsp,0FFFFFFFFFFFFFFF0h,1,5,N,,and,C
.text,004006AD,_start,B0,T,50,push,push_10,rax,,1,0,N,,push,C
.text,004006AE,_start,B0,T,54,push,push_10,rsp,,1,0,N,,push,C
.text,004006AF,_start,B0,T,49C7C030104000,mov,mov_15,r8,offset __libc_csu_fini,1,5,N,_r.CODE,mov_r.CODE,C
.text,004006B6,_start,B0,T,48C7C1C00F4000,mov,mov_15,rcx,offset __libc_csu_init,1,5,N,_r.CODE,mov_r.CODE,C
.text,004006BD,_start,B0,T,48C7C796074000,mov,mov_15,rdi,offset main,1,5,N,_r.CODE,mov_r.CODE,C
.text,004006C4,_start,B0,T,E867FFFFFF,call,call_70,___libc_start_main,,7,0,J,.CODE,call.CODE,C
.text,004006C9,_start,B0,T,F4,hlt,hlt_00,,,0,0,N,,hlt,C
.text,004006D0,deregister_tm_clones,B1,T,B837156000,mov,mov_15,eax,offset unk_601537,1,5,N,_r.BSS,mov_r.BSS,S
.text,004006D5,deregister_tm_clones,B1,T,55,push,push_10,rbp,,1,0,N,,push,C
.text,004006D6,deregister_tm_clones,B1,T,482D30156000,sub,sub_15,rax,offset __bss_start,1,5,N,_r.BSS,sub_r.BSS,C
.text,004006DC,deregister_tm_clones,B1,T,4883F80E,cmp,cmp_15,rax,0Eh,1,5,N,,cmp,C
.text,004006E0,deregister_tm_clones,B1,T,4889E5,mov,mov_11,rbp,rsp,1,1,N,,mov,C
.text,004006E3,deregister_tm_clones,B1,T,761B,jbe,jbe_70,loc_400700,,7,0,J,.CODE,jbe.CODE,C
.text,004006E5,deregister_tm_clones,B2,T,B800000000,mov,mov_15,eax,0,1,5,N,,mov,C
.text,004006EA,deregister_tm_clones,B2,T,4885C0,test,test_11,rax,rax,1,1,N,,test,C
.text,004006ED,deregister_tm_clones,B2,T,7411,jz,jz_70,loc_400700,,7,0,J,.CODE,jz.CODE,C
.text,004006EF,deregister_tm_clones,B3,T,5D,pop,pop_10,rbp,,1,0,N,,pop,C
.text,004006F0,deregister_tm_clones,B3,T,BF30156000,mov,mov_15,edi,offset __bss_start,1,5,N,_r.BSS,mov_r.BSS,C
.text,004006F5,deregister_tm_clones,B3,T,FFE0,jmp,jmp_10,rax,,1,0,J,,jmp,C
.text,00400700,deregister_tm_clones,B4,T,5D,pop,pop_10,rbp,,1,0,N,,pop,C
.text,00400701,deregister_tm_clones,B4,T,C3,retn,retn_00,,,0,0,N,,retn,C
.text,00400710,register_tm_clones,B5,T,BE30156000,mov,mov_15,esi,offset __bss_start,1,5,N,_r.BSS,mov_r.BSS,S
.text,00400715,register_tm_clones,B5,T,55,push,push_10,rbp,,1,0,N,,push,C
.text,00400716,register_tm_clones,B5,T,4881EE30156000,sub,sub_15,rsi,offset __bss_start,1,5,N,_r.BSS,sub_r.BSS,C
.text,0040071D,register_tm_clones,B5,T,48C1FE03,sar,sar_15,rsi,3,1,5,N,,sar,C
.text,00400721,register_tm_clones,B5,T,4889E5,mov,mov_11,rbp,rsp,1,1,N,,mov,C
.text,00400724,register_tm_clones,B5,T,4889F0,mov,mov_11,rax,rsi,1,1,N,,mov,C
.text,00400727,register_tm_clones,B5,T,48C1E83F,shr,shr_15,rax,3Fh,1,5,N,,shr,C
.text,0040072B,register_tm_clones,B5,T,4801C6,add,add_11,rsi,rax,1,1,N,,add,C
.text,0040072E,register_tm_clones,B5,T,48D1FE,sar,sar_15,rsi,1,1,5,N,,sar,C
.text,00400731,register_tm_clones,B5,T,7415,jz,jz_70,loc_400748,,7,0,J,.CODE,jz.CODE,C
.text,00400733,register_tm_clones,B6,T,B800000000,mov,mov_15,eax,0,1,5,N,,mov,C
.text,00400738,register_tm_clones,B6,T,4885C0,test,test_11,rax,rax,1,1,N,,test,C
.text,0040073B,register_tm_clones,B6,T,740B,jz,jz_70,loc_400748,,7,0,J,.CODE,jz.CODE,C
.text,0040073D,register_tm_clones,B7,T,5D,pop,pop_10,rbp,,1,0,N,,pop,C
.text,0040073E,register_tm_clones,B7,T,BF30156000,mov,mov_15,edi,offset __bss_start,1,5,N,_r.BSS,mov_r.BSS,C
.text,00400743,register_tm_clones,B7,T,FFE0,jmp,jmp_10,rax,,1,0,J,,jmp,C
.text,00400748,register_tm_clones,B8,T,5D,pop,pop_10,rbp,,1,0,N,,pop,C
.text,00400749,register_tm_clones,B8,T,C3,retn,retn_00,,,0,0,N,,retn,C
.text,00400750,__do_global_dtors_aux,B9,T,803DD90D200000,cmp,cmp_25,cs:__bss_start,0,2,5,N,_r.BSS,cmp_r.BSS,S
.text,00400757,__do_global_dtors_aux,B9,T,7511,jnz,jnz_70,locret_40076A,,7,0,J,.CODE,jnz.CODE,C
.text,00400759,__do_global_dtors_aux,B10,T,55,push,push_10,rbp,,1,0,N,,push,C
.text,0040075A,__do_global_dtors_aux,B10,T,4889E5,mov,mov_11,rbp,rsp,1,1,N,,mov,C
